@RELATION devices
@ATTRIBUTE sensor_id REAL
@ATTRIBUTE data REAL
@ATTRIBUTE microstamp REAL
@ATTRIBUTE device_microstamp REAL
@ATTRIBUTE class {microwave, tv}
@DATA
54,1,1414370151735228,1414370151735228,tv
54,3,1414370151735645,1414370151735645,tv
54,1,1414370151736062,1414370151736062,tv
54,4,1414370151736479,1414370151736479,tv
54,7,1414370151736896,1414370151736896,tv
54,6,1414370151737312,1414370151737312,tv
54,-5,1414370151737729,1414370151737729,tv
54,-3,1414370151738146,1414370151738146,tv
54,2,1414370151738562,1414370151738562,tv
54,-6,1414370151738979,1414370151738979,tv
54,-1,1414370151739396,1414370151739396,tv
54,2,1414370151739813,1414370151739813,tv
54,-3,1414370151740230,1414370151740230,tv
54,0,1414370151740646,1414370151740646,tv
54,-2,1414370151741063,1414370151741063,tv
54,5,1414370151741480,1414370151741480,tv
54,2,1414370151741896,1414370151741896,tv
54,8,1414370151742313,1414370151742313,tv
54,1,1414370151742730,1414370151742730,tv
54,1,1414370151743147,1414370151743147,tv
54,4,1414370151743564,1414370151743564,tv
54,5,1414370151743980,1414370151743980,tv
54,1,1414370151744397,1414370151744397,tv
54,7,1414370151744814,1414370151744814,tv
54,3,1414370151745230,1414370151745230,tv
54,3,1414370151745647,1414370151745647,tv
54,1,1414370151746064,1414370151746064,tv
54,9,1414370151746481,1414370151746481,tv
54,2,1414370151746898,1414370151746898,tv
54,1,1414370151747314,1414370151747314,tv
54,0,1414370151747731,1414370151747731,tv
54,0,1414370151748148,1414370151748148,tv
54,4,1414370151748564,1414370151748564,tv
54,3,1414370151748981,1414370151748981,tv
54,2,1414370151749398,1414370151749398,tv
54,-6,1414370151749815,1414370151749815,tv
54,5,1414370151750232,1414370151750232,tv
54,2,1414370151750648,1414370151750648,tv
54,-3,1414370151751065,1414370151751065,tv
54,5,1414370151751482,1414370151751482,tv
54,1,1414370151751898,1414370151751898,tv
54,-10,1414370151752315,1414370151752315,tv
54,-5,1414370151752732,1414370151752732,tv
54,6,1414370151753149,1414370151753149,tv
54,1,1414370151753566,1414370151753566,tv
54,1,1414370151753982,1414370151753982,tv
54,0,1414370151754399,1414370151754399,tv
54,0,1414370151754816,1414370151754816,tv
54,-3,1414370151755232,1414370151755232,tv
54,0,1414370151755649,1414370151755649,tv
54,-3,1414370151756066,1414370151756066,tv
54,1,1414370151756483,1414370151756483,tv
54,6,1414370151756900,1414370151756900,tv
54,5,1414370151757316,1414370151757316,tv
54,2,1414370151757733,1414370151757733,tv
54,0,1414370151758150,1414370151758150,tv
54,-3,1414370151758566,1414370151758566,tv
54,1,1414370151758983,1414370151758983,tv
54,1,1414370151759400,1414370151759400,tv
54,1,1414370151759817,1414370151759817,tv
54,6,1414370151760234,1414370151760234,tv
54,1,1414370151760650,1414370151760650,tv
54,2,1414370151761067,1414370151761067,tv
54,5,1414370151761484,1414370151761484,tv
54,-1,1414370151761900,1414370151761900,tv
54,1,1414370151762317,1414370151762317,tv
54,4,1414370151762734,1414370151762734,tv
54,-1,1414370151763151,1414370151763151,tv
54,1,1414370151763568,1414370151763568,tv
54,1,1414370151763984,1414370151763984,tv
54,-3,1414370151764401,1414370151764401,tv
54,2,1414370151764818,1414370151764818,tv
54,-2,1414370151765234,1414370151765234,tv
54,2,1414370151765651,1414370151765651,tv
54,-1,1414370151766068,1414370151766068,tv
54,6,1414370151766485,1414370151766485,tv
54,0,1414370151766902,1414370151766902,tv
54,2,1414370151767318,1414370151767318,tv
54,1,1414370151767735,1414370151767735,tv
54,-3,1414370151768152,1414370151768152,tv
54,-5,1414370151768568,1414370151768568,tv
54,2,1414370151768985,1414370151768985,tv
54,4,1414370151769402,1414370151769402,tv
54,6,1414370151769819,1414370151769819,tv
54,2,1414370151770236,1414370151770236,tv
54,-2,1414370151770652,1414370151770652,tv
54,-5,1414370151771069,1414370151771069,tv
54,1,1414370151771486,1414370151771486,tv
54,3,1414370151771902,1414370151771902,tv
54,-5,1414370151772319,1414370151772319,tv
54,0,1414370151772736,1414370151772736,tv
54,1,1414370151773153,1414370151773153,tv
54,-2,1414370151773570,1414370151773570,tv
54,-2,1414370151773986,1414370151773986,tv
54,1,1414370151774403,1414370151774403,tv
54,2,1414370151774820,1414370151774820,tv
54,0,1414370151775236,1414370151775236,tv
54,5,1414370151775653,1414370151775653,tv
54,5,1414370151776070,1414370151776070,tv
54,8,1414370151776487,1414370151776487,tv
54,-1,1414370151776904,1414370151776904,tv
54,11,1414370151777320,1414370151777320,tv
54,2,1414370151777737,1414370151777737,tv
54,0,1414370151778154,1414370151778154,tv
54,6,1414370151778570,1414370151778570,tv
54,2,1414370151778987,1414370151778987,tv
54,-2,1414370151779404,1414370151779404,tv
54,-1,1414370151779821,1414370151779821,tv
54,5,1414370151780238,1414370151780238,tv
54,1,1414370151780654,1414370151780654,tv
54,3,1414370151781071,1414370151781071,tv
54,5,1414370151781488,1414370151781488,tv
54,3,1414370151781904,1414370151781904,tv
54,-1,1414370151782321,1414370151782321,tv
54,1,1414370151782738,1414370151782738,tv
54,1,1414370151783155,1414370151783155,tv
54,5,1414370151783572,1414370151783572,tv
54,-2,1414370151783988,1414370151783988,tv
54,-1,1414370151784405,1414370151784405,tv
54,1,1414370151784822,1414370151784822,tv
54,-2,1414370151785238,1414370151785238,tv
54,1,1414370151785655,1414370151785655,tv
54,-2,1414370151786072,1414370151786072,tv
54,4,1414370151786489,1414370151786489,tv
54,5,1414370151786906,1414370151786906,tv
54,1,1414370151787322,1414370151787322,tv
54,1,1414370151787739,1414370151787739,tv
54,-3,1414370151788156,1414370151788156,tv
54,2,1414370151788572,1414370151788572,tv
54,-3,1414370151788989,1414370151788989,tv
54,5,1414370151789406,1414370151789406,tv
54,1,1414370151789823,1414370151789823,tv
54,-1,1414370151790240,1414370151790240,tv
54,-3,1414370151790656,1414370151790656,tv
54,4,1414370151791073,1414370151791073,tv
54,-2,1414370151791490,1414370151791490,tv
54,1,1414370151791906,1414370151791906,tv
54,0,1414370151792323,1414370151792323,tv
54,1,1414370151792740,1414370151792740,tv
54,1,1414370151793157,1414370151793157,tv
54,3,1414370151793574,1414370151793574,tv
54,2,1414370151793990,1414370151793990,tv
54,3,1414370151794407,1414370151794407,tv
54,4,1414370151794824,1414370151794824,tv
54,4,1414370151795240,1414370151795240,tv
54,0,1414370151795657,1414370151795657,tv
54,-2,1414370151796074,1414370151796074,tv
54,5,1414370151796491,1414370151796491,tv
54,1,1414370151796908,1414370151796908,tv
54,1,1414370151797324,1414370151797324,tv
54,5,1414370151797741,1414370151797741,tv
54,2,1414370151798158,1414370151798158,tv
54,-2,1414370151798574,1414370151798574,tv
54,-2,1414370151798991,1414370151798991,tv
54,95,1414370152080000,1414370152080000,tv
54,76,1414370152080417,1414370152080417,tv
54,44,1414370152080834,1414370152080834,tv
54,16,1414370152081250,1414370152081250,tv
54,-3,1414370152081667,1414370152081667,tv
54,0,1414370152082084,1414370152082084,tv
